1,337925.4921,-56376.8685,315.2915,
2,337926.1037,-56364.3986,315.3813,
3,337926.7190,-56351.9624,315.4813,
4,337927.3543,-56339.4493,315.5892,
5,337927.9824,-56327.0007,315.7151,
6,337928.6361,-56314.4877,315.8046,
7,337929.2709,-56301.9315,315.8956,
8,337929.9189,-56289.4521,315.9711,
9,337930.6090,-56276.9421,316.0419,
10,337931.2649,-56264.4667,316.1272,
11,337931.9169,-56251.9477,316.1884,
12,337932.5599,-56239.4725,316.2821,
13,337933.2124,-56226.9296,316.3620,
14,337933.8625,-56214.4794,316.4462,
15,337934.5082,-56201.9523,316.5341,
16,337935.1466,-56189.4081,316.6093,
17,337935.7920,-56177.0212,316.6950,
18,337936.4560,-56164.4737,316.7746,
19,337937.0828,-56151.9318,316.8596,
20,337937.7181,-56139.4968,316.9456,
21,337938.3746,-56126.9528,317.0326,
22,337939.0168,-56114.4464,317.1102,
23,337939.6578,-56101.8685,317.1810,
24,337940.3169,-56089.4183,317.2667,
25,337940.9759,-56076.9613,317.3477,
26,337941.6090,-56064.4794,317.4191,
27,337942.2513,-56051.8994,317.5021,
28,337942.8960,-56039.4465,317.5787,
29,337943.5437,-56027.0023,317.6525,
30,337944.1975,-56014.3999,317.7266,
31,337944.8545,-56001.9514,317.7991,
32,337945.5127,-55989.4427,317.8741,
33,337946.1518,-55977.0013,317.9461,
34,337946.8182,-55964.5257,318.0056,
35,337947.4841,-55951.9192,318.0645,
36,337948.1526,-55939.3948,318.1258,
37,337948.7887,-55926.8835,318.1809,
38,337949.4488,-55914.3165,318.2262,
39,337950.1326,-55901.8539,318.2771,
40,337950.7813,-55889.3128,318.3339,
41,337951.4542,-55876.8020,318.3620,
42,337952.0797,-55864.2607,318.4033,
43,337952.7581,-55851.7130,318.4385,
44,337953.4186,-55839.2531,318.4768,
45,337954.0806,-55826.7490,318.4996,
46,337954.7268,-55814.2854,318.5269,
47,337955.3943,-55801.7191,318.5519,
48,337956.0620,-55789.2471,318.5727,
49,337956.7295,-55776.7880,318.5772,
50,337957.3823,-55764.2811,318.5797,
51,337958.0335,-55751.8230,318.6002,
52,337958.6760,-55739.3020,318.6606,
53,337959.3364,-55726.7934,318.6705,
54,337959.9964,-55714.3682,318.6722,
55,337960.6430,-55701.8065,318.6545,
56,337961.3016,-55689.3490,318.6544,
57,337961.9355,-55676.8134,318.6768,
58,337962.5725,-55664.3498,318.6939,
59,337963.2351,-55651.7509,318.7038,
60,337963.8772,-55639.2018,318.7215,
61,337964.5206,-55626.8528,318.7354,
62,337965.2024,-55614.2311,318.7483,
63,337965.8658,-55601.7456,318.7540,
64,337966.5323,-55589.2735,318.7600,
65,337967.1918,-55576.7919,318.7743,
66,337967.8504,-55564.2558,318.7848,
67,337968.5431,-55551.7002,318.7926,
68,337969.1987,-55539.2749,318.8098,
69,337969.8643,-55526.7660,318.8301,
70,337970.5301,-55514.2367,318.8300,
71,337971.1784,-55501.7900,318.8399,
72,337971.8149,-55489.2661,318.8418,
73,337972.4688,-55476.7409,318.8560,
