1,337925.4921,-56376.8685,315.3315,
2,337926.1037,-56364.3986,315.4213,
3,337926.7190,-56351.9624,315.5213,
4,337927.3543,-56339.4493,315.6292,
5,337927.9824,-56327.0007,315.7551,
6,337928.6361,-56314.4877,315.8446,
7,337929.2709,-56301.9315,315.9356,
8,337929.9189,-56289.4521,316.0111,
9,337930.6090,-56276.9421,316.0819,
10,337931.2649,-56264.4667,316.1672,
11,337931.9169,-56251.9477,316.2284,
12,337932.5599,-56239.4725,316.3221,
13,337933.2124,-56226.9296,316.4020,
14,337933.8625,-56214.4794,316.4862,
15,337934.5082,-56201.9523,316.5741,
16,337935.1466,-56189.4081,316.6493,
17,337935.7920,-56177.0212,316.7350,
18,337936.4560,-56164.4737,316.8146,
19,337937.0828,-56151.9318,316.8996,
20,337937.7181,-56139.4968,316.9856,
21,337938.3746,-56126.9528,317.0726,
22,337939.0168,-56114.4464,317.1502,
23,337939.6578,-56101.8685,317.2210,
24,337940.3169,-56089.4183,317.3067,
25,337940.9759,-56076.9613,317.3877,
26,337941.6090,-56064.4794,317.4591,
27,337942.2513,-56051.8994,317.5421,
28,337942.8960,-56039.4465,317.6187,
29,337943.5437,-56027.0023,317.6925,
30,337944.1975,-56014.3999,317.7666,
31,337944.8545,-56001.9514,317.8391,
32,337945.5127,-55989.4427,317.9141,
33,337946.1518,-55977.0013,317.9861,
34,337946.8182,-55964.5257,318.0456,
35,337947.4841,-55951.9192,318.1045,
36,337948.1526,-55939.3948,318.1658,
37,337948.7887,-55926.8835,318.2209,
38,337949.4488,-55914.3165,318.2662,
39,337950.1326,-55901.8539,318.3171,
40,337950.7813,-55889.3128,318.3739,
41,337951.4542,-55876.8020,318.4020,
42,337952.0797,-55864.2607,318.4433,
43,337952.7581,-55851.7130,318.4785,
44,337953.4186,-55839.2531,318.5168,
45,337954.0806,-55826.7490,318.5396,
46,337954.7268,-55814.2854,318.5669,
47,337955.3943,-55801.7191,318.5919,
48,337956.0620,-55789.2471,318.6127,
49,337956.7295,-55776.7880,318.6172,
50,337957.3823,-55764.2811,318.6197,
51,337958.0335,-55751.8230,318.6402,
52,337958.6760,-55739.3020,318.7006,
53,337959.3364,-55726.7934,318.7105,
54,337959.9964,-55714.3682,318.7122,
55,337960.6430,-55701.8065,318.6945,
56,337961.3016,-55689.3490,318.6944,
57,337961.9355,-55676.8134,318.7168,
58,337962.5725,-55664.3498,318.7339,
59,337963.2351,-55651.7509,318.7438,
60,337963.8772,-55639.2018,318.7615,
61,337964.5206,-55626.8528,318.7754,
62,337965.2024,-55614.2311,318.7883,
63,337965.8658,-55601.7456,318.7940,
64,337966.5323,-55589.2735,318.8000,
65,337967.1918,-55576.7919,318.8143,
66,337967.8504,-55564.2558,318.8248,
67,337968.5431,-55551.7002,318.8326,
68,337969.1987,-55539.2749,318.8498,
69,337969.8643,-55526.7660,318.8701,
70,337970.5301,-55514.2367,318.8700,
71,337971.1784,-55501.7900,318.8799,
72,337971.8149,-55489.2661,318.8818,
73,337972.4688,-55476.7409,318.8960,
